Species	Pigment_gone	Photoreceptor_cell	Image_number	Direction	Angle
Wendtii	Yes	Wendtii_no_pigment_1	40	Left	54.38
Wendtii	Yes	Wendtii_no_pigment_1	50	Left	60.25
Wendtii	Yes	Wendtii_no_pigment_1	60	Left	64.87
Wendtii	Yes	Wendtii_no_pigment_1	70	Left	64.71
Wendtii	Yes	Wendtii_no_pigment_1	80	Left	65.81
Wendtii	Yes	Wendtii_no_pigment_1	90	Left	70.13
Wendtii	Yes	Wendtii_no_pigment_1	100	Left	64.68
Wendtii	Yes	Wendtii_no_pigment_1	110	Left	62.87
Wendtii	Yes	Wendtii_no_pigment_1	120	Left	68.75
Wendtii	Yes	Wendtii_no_pigment_1	130	Left	76.05
Wendtii	Yes	Wendtii_no_pigment_1	140	Left	78.23
Wendtii	Yes	Wendtii_no_pigment_1	150	Left	69.46
Wendtii	Yes	Wendtii_no_pigment_1	160	Left	72.59
Wendtii	Yes	Wendtii_no_pigment_1	170	Left	70.69
Wendtii	Yes	Wendtii_no_pigment_2	0	Left	54.87
Wendtii	Yes	Wendtii_no_pigment_2	10	Left	53.66
Wendtii	Yes	Wendtii_no_pigment_2	20	Left	56.36
Wendtii	Yes	Wendtii_no_pigment_2	30	Left	58.31
Wendtii	Yes	Wendtii_no_pigment_2	40	Left	55.57
Wendtii	Yes	Wendtii_no_pigment_2	50	Left	60.91
Wendtii	Yes	Wendtii_no_pigment_2	60	Left	68.31
Wendtii	Yes	Wendtii_no_pigment_2	70	Left	70.02
Wendtii	Yes	Wendtii_no_pigment_2	80	Left	77.22
Wendtii	Yes	Wendtii_no_pigment_2	90	Left	72.02
Wendtii	Yes	Wendtii_no_pigment_2	100	Left	75.1
Wendtii	Yes	Wendtii_no_pigment_2	110	Left	78.75
Wendtii	Yes	Wendtii_no_pigment_2	120	Left	78.34
Wendtii	Yes	Wendtii_no_pigment_2	130	Left	62.04
Wendtii	Yes	Wendtii_no_pigment_2	140	Left	60.31
Wendtii	Yes	Wendtii_no_pigment_2	150	Left	55.74
Wendtii	Yes	Wendtii_no_pigment_2	160	Left	57.95
Wendtii	Yes	Wendtii_no_pigment_2	170	Left	55.52
Wendtii	Yes	Wendtii_no_pigment_3	0	Left	60.34
Wendtii	Yes	Wendtii_no_pigment_3	10	Left	62.32
Wendtii	Yes	Wendtii_no_pigment_3	20	Left	61.4
Wendtii	Yes	Wendtii_no_pigment_3	30	Left	64.83
Wendtii	Yes	Wendtii_no_pigment_3	40	Left	61.55
Wendtii	Yes	Wendtii_no_pigment_3	50	Left	56.8
Wendtii	Yes	Wendtii_no_pigment_3	60	Left	49.14
Wendtii	Yes	Wendtii_no_pigment_3	70	Left	55.63
Wendtii	Yes	Wendtii_no_pigment_3	80	Left	52.66
Wendtii	Yes	Wendtii_no_pigment_3	90	Left	61.06
Wendtii	Yes	Wendtii_no_pigment_3	100	Left	68.07
Wendtii	Yes	Wendtii_no_pigment_3	110	Left	69.49
Wendtii	Yes	Wendtii_no_pigment_3	120	Left	71.75
Wendtii	Yes	Wendtii_no_pigment_3	130	Left	67.37
Wendtii	Yes	Wendtii_no_pigment_3	140	Left	72.65
Wendtii	Yes	Wendtii_no_pigment_3	150	Left	71.8
Wendtii	Yes	Wendtii_no_pigment_3	160	Left	68.48
Wendtii	Yes	Wendtii_no_pigment_3	170	Left	68.79
Wendtii	Yes	Wendtii_no_pigment_4	0	Left	53.9
Wendtii	Yes	Wendtii_no_pigment_4	10	Left	52.56
Wendtii	Yes	Wendtii_no_pigment_4	20	Left	58.76
Wendtii	Yes	Wendtii_no_pigment_4	30	Left	66.76
Wendtii	Yes	Wendtii_no_pigment_4	40	Left	63.4
Wendtii	Yes	Wendtii_no_pigment_4	50	Left	62.06
